  ,Class,Confidence,X,Y,Width,Height
15-09-2025 18:14,LDPE,0.500226498,98,302,185,218
15-09-2025 18:14,PS,0.84890908,620,602,102,102
15-09-2025 18:14,LDPE,0.699173987,1052,212,35,47
15-09-2025 18:14,LDPE,0.69792968,83,643,119,150
15-09-2025 18:14,LDPE,0.55112201,790,418,49,125
15-09-2025 18:14,LDPE,0.52994585,600,213,100,35
15-09-2025 18:14,LDPE,0.454024255,96,288,189,189
15-09-2025 18:14,LDPE,0.787438571,96,292,188,195
15-09-2025 18:14,LDPE,0.715017855,1052,211,38,47
15-09-2025 18:14,LDPE,0.557023942,85,602,125,183
15-09-2025 18:14,LDPE,0.765011966,1052,211,39,45
15-09-2025 18:14,LDPE,0.46089381,44,259,45,105
15-09-2025 18:14,LDPE,0.422760963,94,293,188,192
15-09-2025 18:14,LDPE,0.640801609,787,445,45,119
15-09-2025 18:14,LDPE,0.63016963,1052,212,36,47
15-09-2025 18:14,LDPE,0.593215346,96,297,187,195
15-09-2025 18:14,LDPE,0.509836018,769,563,59,113
15-09-2025 18:14,LDPE,0.898806214,745,558,108,141
15-09-2025 18:14,PS,0.782962143,513,634,98,101
15-09-2025 18:14,LDPE,0.587875366,346,684,107,72
15-09-2025 18:14,LDPE,0.557022333,1052,215,36,53
15-09-2025 18:14,LDPE,0.854827106,1053,212,38,46
15-09-2025 18:14,LDPE,0.766997933,620,565,92,99
15-09-2025 18:14,LDPE,0.64363724,1121,269,90,30
15-09-2025 18:14,LDPE,0.582883596,94,297,187,201
15-09-2025 18:14,LDPE,0.570062816,392,676,187,87
15-09-2025 18:14,PS,0.817639053,645,498,150,76
15-09-2025 18:14,LDPE,0.80629766,521,461,158,73
15-09-2025 18:14,LDPE,0.759400547,1052,211,38,47
15-09-2025 18:14,LDPE,0.70429045,754,385,32,93
15-09-2025 18:14,LDPE,0.673020124,567,569,99,104
15-09-2025 18:14,LDPE,0.627237618,96,288,187,180
15-09-2025 18:14,LDPE,0.532539904,406,681,228,78
15-09-2025 18:14,PS,0.914440513,540,597,105,99
15-09-2025 18:14,LDPE,0.799248397,1052,211,37,47
15-09-2025 18:14,PS,0.670334041,603,520,202,82
15-09-2025 18:14,LDPE,0.65096122,95,283,186,176
15-09-2025 18:15,PS,0.932865798,619,611,104,102
15-09-2025 18:15,LDPE,0.713440955,1052,211,37,46
15-09-2025 18:15,LDPE,0.705239117,384,680,183,79
15-09-2025 18:15,PS,0.647764802,442,575,65,108
15-09-2025 18:15,LDPE,0.608245134,94,291,183,177
15-09-2025 18:15,LDPE,0.499202609,785,419,42,131
15-09-2025 18:15,PS,0.852253377,630,618,109,104
15-09-2025 18:15,LDPE,0.740684271,385,680,185,80
15-09-2025 18:15,LDPE,0.728858769,1052,213,37,48
15-09-2025 18:15,PS,0.726412952,446,577,73,109
15-09-2025 18:15,PS,0.842728853,640,646,112,112
15-09-2025 18:15,LDPE,0.821256161,383,681,181,78
15-09-2025 18:15,LDPE,0.702400267,1052,211,37,47
15-09-2025 18:15,LDPE,0.628197253,101,290,167,173
15-09-2025 18:15,PS,0.47846055,433,491,93,127
15-09-2025 18:15,PS,0.926849902,589,614,118,100
15-09-2025 18:15,PS,0.802278638,657,535,159,82
15-09-2025 18:15,LDPE,0.67550689,1052,213,38,48
15-09-2025 18:15,LDPE,0.654277265,375,684,157,72
15-09-2025 18:15,LDPE,0.535554111,107,286,149,167
15-09-2025 18:15,PS,0.436186969,779,559,102,165
15-09-2025 18:15,LDPE,0.730979204,375,686,166,67
15-09-2025 18:15,PS,0.709829509,566,617,108,98
15-09-2025 18:15,PS,0.574804068,635,539,174,77
15-09-2025 18:15,LDPE,0.494877756,755,424,42,130
15-09-2025 18:15,LDPE,0.426881373,85,597,130,192
15-09-2025 18:15,LDPE,0.413518786,1052,213,39,47
15-09-2025 18:15,PS,0.893869221,437,586,74,107
15-09-2025 18:15,PS,0.881253481,617,619,107,105
15-09-2025 18:15,LDPE,0.745560646,375,680,168,80
15-09-2025 18:15,LDPE,0.528375149,108,294,159,173
15-09-2025 18:15,LDPE,0.843244851,551,566,103,97
15-09-2025 18:15,LDPE,0.719249606,365,683,151,73
15-09-2025 18:15,LDPE,0.565356374,563,238,120,73
15-09-2025 18:15,LDPE,0.437829375,1052,212,38,48
15-09-2025 18:15,PS,0.864578545,557,606,115,100
15-09-2025 18:15,PS,0.815650403,631,528,164,83
15-09-2025 18:15,LDPE,0.720356703,403,685,222,70
15-09-2025 18:15,LDPE,0.625296652,1052,213,39,47
15-09-2025 18:15,PS,0.786239982,616,609,107,103
15-09-2025 18:15,LDPE,0.777285218,385,682,178,75
15-09-2025 18:15,PS,0.678035736,443,585,68,105
15-09-2025 18:15,LDPE,0.644966424,1053,212,38,47
15-09-2025 18:15,LDPE,0.584209383,97,287,172,168
15-09-2025 18:15,LDPE,0.53138262,781,600,77,76
15-09-2025 18:15,LDPE,0.521242857,611,609,113,103
15-09-2025 18:15,PS,0.488205135,683,539,120,74
15-09-2025 18:15,LDPE,0.460900784,781,420,43,113
15-09-2025 18:15,PS,0.896709025,675,521,130,76
15-09-2025 18:15,LDPE,0.669595897,1052,213,39,48
15-09-2025 18:15,LDPE,0.659332812,419,682,246,76
15-09-2025 18:15,LDPE,0.574942648,97,294,166,174
15-09-2025 18:15,LDPE,0.458465695,565,612,188,144
15-09-2025 18:15,LDPE,0.421811402,71,615,139,208
15-09-2025 18:15,LDPE,0.618065357,416,679,236,81
15-09-2025 18:15,LDPE,0.490938485,114,457,157,211
15-09-2025 18:15,PS,0.488999724,682,515,128,80
15-09-2025 18:15,LDPE,0.483597636,115,295,125,174
