Timestamp,Class,Confidence,X,Y,Width,Height,ParticleSize_�m
2025-10-07 10:32:05,LDPE_count,1,,,,,
2025-10-07 10:32:10,PS,0.9436726570129395,562,649,122,79,196.35
2025-10-07 10:32:10,PS,0.5606737732887268,140,675,281,69,278.49
2025-10-07 10:32:10,PS_count,2,,,,,
2025-10-07 10:32:15,LDPE,0.9041005969047546,983,365,153,128,279.89
2025-10-07 10:32:15,PS,0.9004721641540527,589,672,181,80,240.67
2025-10-07 10:32:15,HDPE,0.8670128583908081,725,586,88,57,141.65
2025-10-07 10:32:15,PS,0.8157039284706116,1201,670,120,48,151.79
2025-10-07 10:32:15,LDPE,0.7286918759346008,767,384,312,108,367.13
2025-10-07 10:32:15,LDPE,0.6911249160766602,825,549,46,48,93.98
2025-10-07 10:32:15,PS,0.668443500995636,1077,705,95,30,106.77
2025-10-07 10:32:15,LDPE,0.5653877854347229,1093,445,47,42,88.86
2025-10-07 10:32:15,LDPE_count,4,,,,,
2025-10-07 10:32:15,PS_count,3,,,,,
2025-10-07 10:32:15,HDPE_count,1,,,,,
2025-10-07 10:32:22,PS,0.892578125,155,650,299,65,278.82
2025-10-07 10:32:22,LDPE,0.8883602619171143,1224,654,110,53,152.71
2025-10-07 10:32:22,PS,0.8191053867340088,794,612,186,70,228.21
2025-10-07 10:32:22,PS,0.7983520030975342,855,700,87,40,117.98
2025-10-07 10:32:22,HDPE,0.6988991498947144,1210,484,138,106,241.89
2025-10-07 10:32:22,HDPE,0.5200270414352417,1014,430,112,95,206.3
2025-10-07 10:32:22,LDPE,0.42356377840042114,1251,688,57,30,82.7
2025-10-07 10:32:22,PS_count,3,,,,,
2025-10-07 10:32:22,LDPE_count,2,,,,,
2025-10-07 10:32:22,HDPE_count,2,,,,,
2025-10-07 10:32:31,PS,0.9485735893249512,562,628,111,77,184.9
2025-10-07 10:32:31,PS,0.8106013536453247,912,501,64,91,152.63
2025-10-07 10:32:31,PS,0.5088856220245361,1063,452,47,66,111.39
2025-10-07 10:32:31,LDPE,0.48468804359436035,1234,374,48,55,102.76
2025-10-07 10:32:31,LDPE,0.43849611282348633,26,332,52,83,131.39
2025-10-07 10:32:31,PS_count,3,,,,,
2025-10-07 10:32:31,LDPE_count,2,,,,,
2025-10-07 10:32:36,PS,0.9411830306053162,557,633,94,62,152.68
2025-10-07 10:32:36,PS,0.8420794606208801,146,650,291,67,279.26
2025-10-07 10:32:36,PS,0.7523148059844971,1040,456,36,67,98.22
2025-10-07 10:32:36,PS_count,3,,,,,
2025-10-07 10:32:41,PS,0.9323991537094116,555,626,95,78,172.16
2025-10-07 10:32:41,PS,0.7484570145606995,844,686,78,65,142.41
2025-10-07 10:32:41,PS,0.6666936874389648,1260,389,38,66,100.16
2025-10-07 10:32:41,LDPE,0.6577714085578918,1048,454,88,106,193.16
